id,name,role,iconUrl,meetUrl,groupContent,email,password
MW001,コーチA,Coach,,,,coach_001@example.jp,coach001
MW002,コーチB,Coach,,,,coach_002@example.jp,coach002
MW003,コーチC,Coach,,,,coach_003@example.jp,coach003
MW004,コーチD,Coach,,,,coach_004@example.jp,coach004
MW005,コンサルA,Consultant,,,,consultant_001@example.jp,consultant001
MW006,コンサルB,Consultant,,,,consultant_002@example.jp,consultant002
MW007,コンサルC,Consultant,,,,consultant_003@example.jp,consultant003
MW008,CS担当A,CS,,,,cs_001@example.jp,cs001
MW009,CS担当B,CS,,,,cs_002@example.jp,cs002
MW010,CS担当C,CS,,,,cs_003@example.jp,cs003
